CustomerName,OrderDate,ProductName,CategoryName,Quantity,TotalPrice
Lucas Hernandez,2025-11-10T14:32:49.618Z,Rustic Backpack,Sports & Outdoors - Accessories 691,3,2175.81
Lucas Hernandez,2025-11-10T14:32:49.618Z,Vintage Tablet,Home & Kitchen - Storage 301,1,248.38
Lucas Hernandez,2025-11-10T14:32:49.618Z,Vintage Blender,Toys & Games - Fitness 846,2,381.7
Olivia Davis,2025-11-10T12:44:21.606Z,Portable Tablet,Health - Garden 765,5,69.95
Olivia Davis,2025-11-10T12:44:21.606Z,Deluxe Tablet,Beauty & Personal Care - Fitness 113,2,1026.22
Olivia Davis,2025-11-10T12:44:21.606Z,Wireless Coffee Maker,Electronics - Garden 355,3,2302.02
Olivia Davis,2025-11-10T12:44:21.606Z,Eco Smartphone,Toys & Games - Camera 472,4,2694.08
Olivia Davis,2025-11-10T12:44:21.606Z,Essential Yoga Mat,Clothing - Tools 290,2,1420.1
Logan Johnson,2025-11-10T02:02:07.643Z,Eco Printer,Beauty & Personal Care - Audio 313,2,1121.24
Logan Johnson,2025-11-10T02:02:07.643Z,Eco Watch,Beauty & Personal Care - Decor 526,4,108.12
Benjamin Davis,2025-11-09T22:08:07.774Z,Ultra Sneakers,Grocery - Lighting 995,5,3301.05
Benjamin Davis,2025-11-09T22:08:07.774Z,Advanced Router,Beauty & Personal Care - Outdoor 769,1,191.99
Benjamin Thomas,2025-11-09T18:48:23.356Z,Essential Cookware Set,Beauty & Personal Care - Footwear 744,5,4602.5
Benjamin Thomas,2025-11-09T18:48:23.356Z,Smart Vacuum,Home & Kitchen - Wellness 823,2,1030.32
Benjamin Thomas,2025-11-09T18:48:23.356Z,Classic Headphones,Beauty & Personal Care - Outdoor 379,2,1195.4
Benjamin Thomas,2025-11-09T18:48:23.356Z,Deluxe Tablet,Electronics - Decor 409,4,2896.48
James Martin,2025-11-09T13:23:31.077Z,Wireless Yoga Mat,Health - Audio 458,2,584.94
James Martin,2025-11-09T13:23:31.077Z,Limited Vacuum,Beauty & Personal Care - Fitness 719,1,1108.41
James Martin,2025-11-09T13:23:31.077Z,Wireless Camera,Health - Wellness 961,1,1150.01
James Martin,2025-11-09T13:23:31.077Z,Advanced Monitor,Clothing - Fitness 467,5,3193.25
Benjamin Jones,2025-11-09T08:23:42.111Z,Classic Tablet,Toys & Games - Footwear 577,4,3163.2
Benjamin Jones,2025-11-09T08:23:42.111Z,Premium Watch,Clothing - Accessories 748,5,1980.9
Benjamin Jones,2025-11-09T08:23:42.111Z,Compact Yoga Mat,Beauty & Personal Care - Office 43,5,1327.2
Benjamin Jones,2025-11-09T08:23:42.111Z,Premium Treadmill,Clothing - Computers 179,4,2106.72
Benjamin Jones,2025-11-09T08:23:42.111Z,Essential Blender,Books - Kids 234,4,2638.6
Liam Anderson,2025-11-09T01:37:57.925Z,Eco Blender,Toys & Games - Footwear 827,1,548.72
Liam Anderson,2025-11-09T01:37:57.925Z,Portable Smartphone,Electronics - Outdoor 56,3,3349.8
Benjamin Hernandez,2025-11-09T01:07:59.856Z,Eco Smartphone,Health - Bedding 541,3,639.21
Benjamin Hernandez,2025-11-09T01:07:59.856Z,Essential Laptop,Beauty & Personal Care - Camera 814,2,1729.04
Benjamin Hernandez,2025-11-09T01:07:59.856Z,Eco Desk,Automotive - Pets 317,5,3051.5
Olivia Jackson,2025-11-08T09:30:08.879Z,Eco Camera,Grocery - Lighting 345,2,1466.72
Alexander Gonzalez,2025-11-08T08:39:32.426Z,Premium Chair,Grocery - Camera 953,1,384.11
Alexander Gonzalez,2025-11-08T08:39:32.426Z,Portable Router,Clothing - Audio 776,5,65.45
Isabella Williams,2025-11-08T06:13:20.334Z,Vintage Laptop,Home & Kitchen - Computers 149,5,2460.25
Isabella Williams,2025-11-08T06:13:20.334Z,Classic Guitar,Home & Kitchen - Outdoor 540,4,4513.8
Isabella Williams,2025-11-08T06:13:20.334Z,Essential Yoga Mat,Clothing - Tools 290,5,3550.25
Isabella Williams,2025-11-08T06:13:20.334Z,Advanced Treadmill,Electronics - Camera 815,4,3847.12
Isabella Williams,2025-11-08T06:13:20.334Z,Limited Backpack,Health - Accessories 593,5,5770.25
Lucas Martin,2025-11-07T23:25:50.169Z,Modern Blender,Sports & Outdoors - Accessories 971,1,60.6
Lucas Martin,2025-11-07T23:25:50.169Z,Smart Vacuum,Electronics - Computers 505,1,751.55
Lucas Martin,2025-11-07T23:25:50.169Z,Eco Coffee Maker,Sports & Outdoors - Office 917,2,662.46
Lucas Martin,2025-11-07T23:25:50.169Z,Compact Coffee Maker,Electronics - Bedding 66,4,312.08
Benjamin Taylor,2025-11-07T21:30:36.002Z,Limited Backpack,Beauty & Personal Care - Fitness 719,5,5043.7
Benjamin Taylor,2025-11-07T21:30:36.002Z,Smart Camera,Beauty & Personal Care - Garden 649,4,4386.08
Benjamin Taylor,2025-11-07T21:30:36.002Z,Portable Jacket,Beauty & Personal Care - Audio 545,4,4362.84
Henry Taylor,2025-11-07T20:48:32.340Z,Advanced Blender,Books - Wellness 706,2,255.5
Henry Taylor,2025-11-07T20:48:32.340Z,Ultra Chair,Sports & Outdoors - Outdoor 532,1,1182.77
Henry Taylor,2025-11-07T20:48:32.340Z,Deluxe Camera,Health - Wellness 402,2,637.22
Henry Taylor,2025-11-07T20:48:32.340Z,Limited Headphones,Books - Computers 884,5,3280.75
Logan Gonzalez,2025-11-07T11:31:31.302Z,Deluxe Printer,Beauty & Personal Care - Footwear 543,1,945.83
Logan Gonzalez,2025-11-07T11:31:31.302Z,Essential Cookware Set,Beauty & Personal Care - Footwear 744,4,3682
Logan Gonzalez,2025-11-07T11:31:31.302Z,Vintage Laptop,Home & Kitchen - Computers 149,4,1968.2
Logan Gonzalez,2025-11-07T11:31:31.302Z,Classic Blender,Books - Storage 260,4,4224.56
James Lopez,2025-11-07T08:26:13.487Z,Rustic Headphones,Home & Kitchen - Decor 200,4,2524.44
James Lopez,2025-11-07T08:26:13.487Z,Smart Tablet,Beauty & Personal Care - Bedding 287,5,5474.25
James Lopez,2025-11-07T08:26:13.487Z,Advanced Backpack,Books - Accessories 702,4,1656.48
Liam Lopez,2025-11-07T06:54:52.852Z,Rustic Backpack,Sports & Outdoors - Accessories 691,3,2175.81
Liam Lopez,2025-11-07T06:54:52.852Z,Compact Sneakers,Electronics - Storage 724,3,1325.73
Liam Lopez,2025-11-07T06:54:52.852Z,Classic Yoga Mat,Health - Pets 180,3,1473.84
Liam Lopez,2025-11-07T06:54:52.852Z,Compact Speaker,Clothing - Camera 637,2,506.12
Sebastian Gonzalez,2025-11-07T04:47:24.388Z,Ultra Watch,Books - Office 224,2,1266.58
Mason Martin,2025-11-07T04:25:25.932Z,Compact Mixer,Sports & Outdoors - Pets 763,1,248.83
Mason Martin,2025-11-07T04:25:25.932Z,Vintage Tablet,Sports & Outdoors - Camera 728,1,607.23
Mason Martin,2025-11-07T04:25:25.932Z,Portable Sneakers,Clothing - Camera 549,3,2784.48
Olivia Wilson,2025-11-07T03:59:17.940Z,Eco Yoga Mat,Grocery - Fitness 583,1,622.29
Olivia Wilson,2025-11-07T03:59:17.940Z,Classic Sneakers,Clothing - Fitness 331,2,2165.5
Olivia Wilson,2025-11-07T03:59:17.940Z,Portable Yoga Mat,Beauty & Personal Care - Footwear 203,1,802.46
Olivia Wilson,2025-11-07T03:59:17.940Z,Modern Chair,Grocery - Accessories 896,5,5575
Olivia Wilson,2025-11-07T03:59:17.940Z,Eco Treadmill,Grocery - Garden 32,5,5726
Henry Miller,2025-11-07T03:56:07.218Z,Ultra Vacuum,Books - Garden 463,5,1508.95
Henry Miller,2025-11-07T03:56:07.218Z,Advanced Router,Beauty & Personal Care - Outdoor 769,4,767.96
Henry Miller,2025-11-07T03:56:07.218Z,Classic Tablet,Sports & Outdoors - Fitness 382,5,1262.05
Henry Miller,2025-11-07T03:56:07.218Z,Deluxe Vacuum,Grocery - Garden 147,5,2730.6
Henry Miller,2025-11-07T03:56:07.218Z,Rustic Jacket,Home & Kitchen - Mobile 194,4,4666.64
Henry Miller,2025-11-07T03:56:07.218Z,Compact Monitor,Grocery - Audio 360,4,951.2
Henry Moore,2025-11-07T00:41:28.435Z,Ultra Camera,Electronics - Outdoor 159,1,70.01
Henry Moore,2025-11-07T00:41:28.435Z,Portable Cookware Set,Beauty & Personal Care - Outdoor 825,3,1381.56
Henry Moore,2025-11-07T00:41:28.435Z,Vintage Vacuum,Home & Kitchen - Camera 33,3,1987.56
Henry Moore,2025-11-07T00:41:28.435Z,Portable Guitar,Beauty & Personal Care - Fitness 645,2,1372.86
Henry Moore,2025-11-07T00:41:28.435Z,Rustic Camera,Grocery - Fitness 583,1,574.02
Henry Moore,2025-11-07T00:41:28.435Z,Eco Treadmill,Grocery - Garden 32,2,2290.4
Mason Lopez,2025-11-07T00:08:07.895Z,Vintage Treadmill,Beauty & Personal Care - Accessories 820,3,3220.92
Mason Lopez,2025-11-07T00:08:07.895Z,Vintage Blender,Books - Fitness 106,4,2861.52
Mason Lopez,2025-11-07T00:08:07.895Z,Portable Camera,Health - Camera 638,5,419.25
Mason Lopez,2025-11-07T00:08:07.895Z,Deluxe Backpack,Clothing - Computers 5,3,722.82
Liam Moore,2025-11-06T23:19:27.313Z,Premium Guitar,Automotive - Pets 650,3,325.05
Noah Williams,2025-11-06T18:19:45.253Z,Portable Vacuum,Grocery - Pets 631,5,3603.65
Noah Williams,2025-11-06T18:19:45.253Z,Advanced Laptop,Home & Kitchen - Outdoor 473,1,504.41
Noah Williams,2025-11-06T18:19:45.253Z,Premium Blender,Health - Decor 94,4,2406.16
Noah Williams,2025-11-06T18:19:45.253Z,Vintage Mixer,Sports & Outdoors - Storage 248,4,2665.84
Alexander Martinez,2025-11-06T16:35:32.135Z,Modern Speaker,Books - Wellness 706,3,739.38
Alexander Martinez,2025-11-06T16:35:32.135Z,Modern Desk,Automotive - Garden 166,4,1371.4
Ava Brown,2025-11-06T07:10:33.370Z,Classic Yoga Mat,Grocery - Bedding 26,1,338.81
Ava Brown,2025-11-06T07:10:33.370Z,Ultra Camera,Beauty & Personal Care - Fitness 719,4,3052.52
Logan Johnson,2025-11-06T06:39:47.931Z,Deluxe Tablet,Beauty & Personal Care - Pets 554,1,74.48
Elijah Hernandez,2025-11-06T04:05:50.115Z,Eco Watch,Beauty & Personal Care - Decor 526,2,54.06
Elijah Hernandez,2025-11-06T04:05:50.115Z,Wireless Jacket,Toys & Games - Accessories 891,1,711.39
Elijah Hernandez,2025-11-06T04:05:50.115Z,Essential Vacuum,Clothing - Tools 394,5,1118
Elijah Hernandez,2025-11-06T04:05:50.115Z,Rustic Watch,Home & Kitchen - Wellness 885,1,641.6
Elijah Hernandez,2025-11-06T04:05:50.115Z,Wireless Guitar,Books - Wellness 706,2,2232.9
Ava Williams,2025-11-06T01:36:59.908Z,Advanced Laptop,Home & Kitchen - Outdoor 473,2,1008.82
Ava Williams,2025-11-06T01:36:59.908Z,Essential Chair,Home & Kitchen - Bedding 443,2,1611.8
Ava Williams,2025-11-06T01:36:59.908Z,Rustic Camera,Home & Kitchen - Garden 31,5,1031.95
Ava Williams,2025-11-06T01:36:59.908Z,Essential Chair,Electronics - Outdoor 56,4,3285.32
Ava Williams,2025-11-06T01:36:59.908Z,Limited Mixer,Health - Decor 94,1,280.75
Ava Wilson,2025-11-05T18:38:10.434Z,Vintage Yoga Mat,Automotive - Tools 919,5,3819.9
Ava Wilson,2025-11-05T18:38:10.434Z,Classic Backpack,Toys & Games - Storage 344,3,2940.27
Ava Wilson,2025-11-05T18:38:10.434Z,Deluxe Yoga Mat,Beauty & Personal Care - Storage 951,4,1881.28
Ava Wilson,2025-11-05T18:38:10.434Z,Vintage Blender,Toys & Games - Camera 472,1,50.98
Ava Wilson,2025-11-05T18:38:10.434Z,Ultra Jacket,Health - Office 442,1,379.32
Ava Wilson,2025-11-05T18:38:10.434Z,Advanced Desk,Grocery - Pets 498,4,96.12
Emma Johnson,2025-11-05T18:08:57.661Z,Essential Laptop,Beauty & Personal Care - Camera 814,3,2593.56
Emma Johnson,2025-11-05T18:08:57.661Z,Eco Headphones,Health - Fitness 859,1,1110.69
Sebastian Johnson,2025-11-05T08:27:22.852Z,Smart Laptop,Toys & Games - Pets 829,1,567.9
Sebastian Johnson,2025-11-05T08:27:22.852Z,Vintage Headphones,Electronics - Wellness 118,4,4020.4
Sebastian Johnson,2025-11-05T08:27:22.852Z,Essential Mixer,Health - Mobile 253,3,3314.07
Alexander Johnson,2025-11-05T07:00:55.339Z,Eco Smartphone,Toys & Games - Camera 472,3,2020.56
Alexander Johnson,2025-11-05T07:00:55.339Z,Classic Camera,Books - Camera 960,1,231.9
Alexander Johnson,2025-11-05T07:00:55.339Z,Smart Printer,Grocery - Outdoor 351,3,2055.63
Alexander Johnson,2025-11-05T07:00:55.339Z,Portable Coffee Maker,Books - Storage 12,4,733.56
Alexander Johnson,2025-11-05T07:00:55.339Z,Essential Coffee Maker,Grocery - Bedding 561,3,2032.8
Liam Lopez,2025-11-05T03:26:35.241Z,Vintage Mixer,Sports & Outdoors - Office 917,1,652.16
Liam Lopez,2025-11-05T03:26:35.241Z,Vintage Blender,Books - Fitness 106,1,715.38
Liam Lopez,2025-11-05T03:26:35.241Z,Vintage Chair,Books - Pets 907,5,3744.65
Liam Lopez,2025-11-05T03:26:35.241Z,Advanced Printer,Grocery - Tools 280,5,1647.2
Liam Lopez,2025-11-05T03:26:35.241Z,Ultra Desk,Health - Wellness 961,1,189.6
Logan Martinez,2025-11-04T14:24:14.444Z,Rustic Backpack,Home & Kitchen - Accessories 624,4,4490.88
Amelia Martin,2025-11-04T14:14:35.843Z,Rustic Drill,Sports & Outdoors - Wellness 673,5,1176.95
Sebastian Wilson,2025-11-04T13:09:22.007Z,Portable Camera,Electronics - Storage 724,2,2320.38
Sebastian Wilson,2025-11-04T13:09:22.007Z,Modern Speaker,Health - Bedding 508,5,4920.95
Sebastian Wilson,2025-11-04T13:09:22.007Z,Classic Guitar,Home & Kitchen - Outdoor 540,4,4513.8
Sebastian Wilson,2025-11-04T13:09:22.007Z,Portable Tablet,Toys & Games - Storage 682,5,1477.4
Sophia Johnson,2025-11-04T08:26:29.056Z,Deluxe Router,Home & Kitchen - Wellness 823,1,1195.48
Sophia Johnson,2025-11-04T08:26:29.056Z,Wireless Vacuum,Electronics - Office 855,4,668.2
Sophia Johnson,2025-11-04T08:26:29.056Z,Advanced Camera,Home & Kitchen - Wellness 823,4,1473.48
Sophia Johnson,2025-11-04T08:26:29.056Z,Compact Headphones,Books - Footwear 957,4,1129.04
Henry Jones,2025-11-04T07:43:48.778Z,Vintage Tablet,Sports & Outdoors - Camera 728,2,1214.46
Henry Jones,2025-11-04T07:43:48.778Z,Rustic Router,Home & Kitchen - Accessories 898,4,2737.52
Henry Jones,2025-11-04T07:43:48.778Z,Limited Headphones,Clothing - Wellness 928,2,1403.9
Mia Anderson,2025-11-04T01:29:11.007Z,Advanced Backpack,Electronics - Pets 730,1,793.14
Mia Anderson,2025-11-04T01:29:11.007Z,Ultra Yoga Mat,Sports & Outdoors - Accessories 627,2,1310.3
Isabella Johnson,2025-11-03T23:41:46.543Z,Portable Router,Beauty & Personal Care - Pets 554,3,2637.99
Isabella Johnson,2025-11-03T23:41:46.543Z,Ultra Jacket,Clothing - Wellness 258,2,1043.32
Isabella Johnson,2025-11-03T23:41:46.543Z,Essential Tablet,Automotive - Camera 798,4,998.08
Isabella Johnson,2025-11-03T23:41:46.543Z,Portable Yoga Mat,Books - Footwear 36,3,2877.84
Sophia Johnson,2025-11-03T22:08:43.131Z,Essential Tablet,Automotive - Camera 798,2,499.04
Mia Moore,2025-11-03T19:03:40.819Z,Ultra Treadmill,Toys & Games - Garden 626,3,208.86
Mia Moore,2025-11-03T19:03:40.819Z,Limited Backpack,Beauty & Personal Care - Lighting 606,1,561.61
Liam Lopez,2025-11-03T14:38:54.138Z,Eco Camera,Health - Storage 327,2,2318.86
Liam Anderson,2025-11-03T04:58:37.982Z,Modern Vacuum,Grocery - Audio 821,4,3271.8
Liam Anderson,2025-11-03T04:58:37.982Z,Compact Jacket,Home & Kitchen - Mobile 163,2,475.14
Liam Anderson,2025-11-03T04:58:37.982Z,Modern Router,Electronics - Pets 417,4,1280.28
Liam Anderson,2025-11-03T04:58:37.982Z,Compact Headphones,Sports & Outdoors - Fitness 300,2,1190.64
Liam Anderson,2025-11-03T04:58:37.982Z,Portable Guitar,Clothing - Storage 150,5,2553.7
Liam Anderson,2025-11-03T04:58:37.982Z,Limited Jacket,Grocery - Garden 60,4,1253.56
Logan Johnson,2025-11-03T04:13:24.833Z,Wireless Smartphone,Clothing - Bedding 212,1,1128.84
Ava Jones,2025-11-02T16:28:58.736Z,Classic Yoga Mat,Automotive - Tools 412,2,2393.38
Ava Jones,2025-11-02T16:28:58.736Z,Essential Chair,Home & Kitchen - Bedding 443,1,805.9
Ava Jones,2025-11-02T16:28:58.736Z,Ultra Camera,Electronics - Outdoor 159,1,70.01
Ava Jones,2025-11-02T16:28:58.736Z,Eco Printer,Beauty & Personal Care - Computers 874,5,184.05
Ava Jones,2025-11-02T16:28:58.736Z,Limited Mixer,Health - Decor 94,4,1123
Ava Jones,2025-11-02T16:28:58.736Z,Modern Blender,Sports & Outdoors - Accessories 971,4,242.4
Sebastian Lopez,2025-11-02T14:23:29.850Z,Modern Speaker,Clothing - Audio 367,3,3289.98
Sebastian Lopez,2025-11-02T14:23:29.850Z,Rustic Router,Home & Kitchen - Accessories 898,5,3421.9
Sebastian Lopez,2025-11-02T14:23:29.850Z,Premium Laptop,Automotive - Wellness 844,5,3958.8
Logan Jackson,2025-11-02T12:16:18.860Z,Smart Camera,Beauty & Personal Care - Garden 649,2,2193.04
Logan Jackson,2025-11-02T12:16:18.860Z,Limited Headphones,Home & Kitchen - Audio 902,2,1483.34
Logan Jackson,2025-11-02T12:16:18.860Z,Premium Headphones,Electronics - Office 562,5,4848.05
Logan Jackson,2025-11-02T12:16:18.860Z,Eco Tablet,Clothing - Decor 374,5,3164.15
Logan Jackson,2025-11-02T12:16:18.860Z,Deluxe Cookware Set,Grocery - Garden 889,5,2528.85
James Rodriguez,2025-11-02T09:44:08.295Z,Smart Cookware Set,Sports & Outdoors - Computers 350,3,2950.44
James Rodriguez,2025-11-02T09:44:08.295Z,Vintage Router,Automotive - Decor 3,3,2321.49
James Rodriguez,2025-11-02T09:44:08.295Z,Ultra Camera,Health - Wellness 536,3,3185.07
James Rodriguez,2025-11-02T09:44:08.295Z,Rustic Jacket,Automotive - Pets 613,3,3526.95
James Rodriguez,2025-11-02T09:44:08.295Z,Modern Sneakers,Clothing - Wellness 464,3,1253.13
James Rodriguez,2025-11-02T09:44:08.295Z,Compact Treadmill,Sports & Outdoors - Accessories 407,4,1490.28
Mia Martin,2025-11-01T17:39:28.292Z,Limited Chair,Health - Kids 167,1,200.92
Mia Martin,2025-11-01T17:39:28.292Z,Vintage Smartphone,Books - Storage 260,2,1296.42
Mia Martin,2025-11-01T17:39:28.292Z,Advanced Speaker,Home & Kitchen - Kids 611,1,684.32
Mia Martin,2025-11-01T17:39:28.292Z,Deluxe Desk,Books - Decor 411,4,1039.8
Mia Martin,2025-11-01T17:39:28.292Z,Limited Chair,Electronics - Decor 409,2,1281.08
Mia Martin,2025-11-01T17:39:28.292Z,Advanced Cookware Set,Grocery - Outdoor 354,3,1220.97
Elijah Martin,2025-11-01T12:17:22.921Z,Premium Headphones,Sports & Outdoors - Tools 879,3,2862.6
Elijah Martin,2025-11-01T12:17:22.921Z,Essential Vacuum,Toys & Games - Computers 565,5,2340.8
Elijah Martin,2025-11-01T12:17:22.921Z,Modern Cookware Set,Sports & Outdoors - Accessories 368,2,1067.32
Elijah Martin,2025-11-01T12:17:22.921Z,Rustic Backpack,Clothing - Tools 781,2,296.32
Elijah Martin,2025-11-01T12:17:22.921Z,Classic Sneakers,Clothing - Fitness 331,3,3248.25
Elijah Martin,2025-11-01T12:17:22.921Z,Wireless Tablet,Clothing - Accessories 748,1,409.52
Amelia Thomas,2025-11-01T03:58:21.742Z,Modern Monitor,Sports & Outdoors - Pets 763,1,381.06
Amelia Thomas,2025-11-01T03:58:21.742Z,Vintage Coffee Maker,Grocery - Lighting 98,3,1763.22
Amelia Thomas,2025-11-01T03:58:21.742Z,Advanced Cookware Set,Grocery - Outdoor 354,3,1220.97
Amelia Thomas,2025-11-01T03:58:21.742Z,Ultra Cookware Set,Home & Kitchen - Pets 703,3,2633.52
Amelia Thomas,2025-11-01T03:58:21.742Z,Ultra Smartphone,Automotive - Computers 537,4,152.08
Liam Anderson,2025-10-31T19:33:02.920Z,Advanced Printer,Toys & Games - Computers 924,3,2686.05
Liam Anderson,2025-10-31T19:33:02.920Z,Wireless Watch,Books - Footwear 772,4,2671.84
Liam Anderson,2025-10-31T19:33:02.920Z,Premium Mixer,Health - Lighting 181,3,2660.82
Henry Taylor,2025-10-31T15:26:42.278Z,Eco Headphones,Books - Fitness 994,5,1645.95
Isabella Jones,2025-10-30T21:52:24.853Z,Ultra Smartphone,Sports & Outdoors - Kids 588,5,2299.3
Isabella Jones,2025-10-30T21:52:24.853Z,Advanced Router,Beauty & Personal Care - Wellness 903,1,977.91
Isabella Jones,2025-10-30T21:52:24.853Z,Classic Smartphone,Sports & Outdoors - Computers 292,2,2221.7
Isabella Jones,2025-10-30T21:52:24.853Z,Smart Chair,Sports & Outdoors - Office 865,3,1552.23
Isabella Jones,2025-10-30T21:52:24.853Z,Essential Blender,Books - Kids 234,1,659.65
Isabella Jones,2025-10-30T21:52:24.853Z,Vintage Yoga Mat,Sports & Outdoors - Wellness 11,1,704.64
Henry Davis,2025-10-30T20:28:03.507Z,Advanced Camera,Health - Kids 921,2,686.8
Henry Davis,2025-10-30T20:28:03.507Z,Rustic Chair,Automotive - Footwear 274,3,3342.39
